epoch,y1_meas,y2_meas,y3_meas,y1_pred,y2_pred,y3_pred,innov1,innov2,innov3,u_mpc1,u_mpc2,u_mpc3,triggered,y1_nompc,y2_nompc,y3_nompc
49,0.228413,0.198509,0.149982,0.229057,0.198591,0.149987,-0.005518,-0.000674,-0.000036,6.02803e-05,1.8581e-13,1.69137e-11,1,0.000000,0.195323,0.149703
50,0.228724,0.198470,0.149977,0.229350,0.198553,0.149982,-0.005361,-0.000684,-0.000038,5.49759e-05,3.15006e-11,4.10933e-09,1,0.000000,0.195172,0.149682
51,0.229041,0.198433,0.149972,0.229650,0.198517,0.149977,-0.005209,-0.000693,-0.000041,5.01112e-05,3.16951e-13,7.96234e-11,1,0.000000,0.195021,0.149660
52,0.229363,0.198396,0.149967,0.229954,0.198482,0.149973,-0.005063,-0.000702,-0.000043,4.56522e-05,1.5584e-14,9.96313e-12,1,0.000000,0.194872,0.149638
53,0.229687,0.198361,0.149962,0.230263,0.198448,0.149968,-0.004923,-0.000711,-0.000045,4.15638e-05,1.84903e-13,1.22282e-11,1,0.000000,0.194724,0.149614
54,0.230015,0.198328,0.149957,0.230574,0.198415,0.149963,-0.004788,-0.000718,-0.000047,3.78158e-05,1.10859e-12,8.50192e-11,1,0.000000,0.194577,0.149591
55,0.230343,0.198295,0.149951,0.230888,0.198383,0.149957,-0.004658,-0.000726,-0.000050,3.43803e-05,1.72678e-12,1.11039e-10,1,0.000000,0.194432,0.149566
56,0.230672,0.198264,0.149946,0.231202,0.198352,0.149952,-0.004533,-0.000732,-0.000052,3.12318e-05,1.09056e-11,4.99988e-10,1,0.000000,0.194287,0.149541
57,0.231002,0.198234,0.149940,0.231518,0.198323,0.149947,-0.004412,-0.000738,-0.000055,2.83459e-05,2.13426e-15,1.01131e-12,1,0.000000,0.194144,0.149516
58,0.231331,0.198204,0.149934,0.231833,0.198294,0.149941,-0.004296,-0.000744,-0.000057,2.57023e-05,1.6906e-13,5.27319e-11,1,0.000000,0.194002,0.149490
59,0.231658,0.198176,0.149928,0.232148,0.198267,0.149935,-0.004183,-0.000749,-0.000059,2.32805e-05,5.70352e-13,2.09964e-10,1,0.000000,0.193861,0.149463
60,0.231984,0.198150,0.149922,0.232461,0.198241,0.149930,-0.004074,-0.000754,-0.000062,2.10623e-05,8.39011e-14,1.07842e-11,1,0.000000,0.193721,0.149436
